Energy,Mean Intensity,ROI,Normalized Mean Intensity,pre_edge_line,post_edge_line,mu
288.2,0.68312186,b,1.3389149234852693,0.332148418570258,0.5926844039919037,0.6831218600273132
288.3,0.69098324,b,1.3698772738371654,0.33189786689448175,0.5922836585286884,0.690983235836029
288.4,0.6981555,b,1.3982572577998653,0.3316473152187055,0.5918829130654728,0.6981555223464966
288.5,0.6916723,b,1.3754632324094413,0.33139676354292924,0.5914821676022575,0.6916723251342773
288.6,0.6805252,b,1.3351910472385584,0.3311462118671529,0.5910814221390417,0.6805251836776733
288.7,0.65886974,b,1.2555389473184786,0.3308956601913766,0.5906806766758261,0.658869743347168
288.8,0.64711344,b,1.2129839332835175,0.33064510851560036,0.5902799312126107,0.6471134424209595
288.9,0.6193277,b,1.1103585783887344,0.3303945568398241,0.5898791857493952,0.61932772397995
289.0,0.61171013,b,1.0833133985030945,0.33014400516404785,0.5894784402861797,0.6117101311683655
289.1,0.61472684,b,1.0961203349536044,0.3298934534882715,0.5890776948229639,0.6147268414497375
289.2,0.6068319,b,1.0680358201653646,0.3296429018124952,0.5886769493597488,0.6068319082260132
289.3,0.60018486,b,1.0446277540168847,0.32939235013671897,0.588276203896533,0.6001848578453064
289.4,0.59180677,b,1.0147326119515219,0.3291417984609427,0.5878754584333177,0.5918067693710327
289.5,0.5931555,b,1.0212887966474005,0.32889124678516635,0.5874747129701019,0.5931555032730103
289.6,0.60335714,b,1.0610212751490287,0.3286406951093901,0.5870739675068865,0.6033571362495422
289.7,0.5845671,b,0.9921074056410464,0.32839014343361383,0.586673222043671,0.584567129611969
289.8,0.5948907,b,1.0322968966530373,0.3281395917578376,0.5862724765804554,0.5948907136917114
289.9,0.5954622,b,1.0359403525438693,0.3278890400820613,0.58587173111724,0.5954622030258179
290.0,0.5914369,b,1.0223573852618562,0.32763848840628496,0.5854709856540242,0.5914369225502014
290.1,0.5914454,b,1.0238908997192164,0.3273879367305087,0.585070240190809,0.5914453864097595
290.2,0.5857984,b,1.0042305148507253,0.32713738505473244,0.5846694947275932,0.5857983827590942
290.3,0.5896092,b,1.0200133934691493,0.3268868333789562,0.5842687492643779,0.5896092057228088
290.4,0.5958025,b,1.0447245453288683,0.32663628170317993,0.5838680038011623,0.5958024859428406
290.5,0.59160507,b,1.0304964890292951,0.32638573002740356,0.5834672583379468,0.5916050672531128
290.6,0.58890337,b,1.0218736487292477,0.3261351783516273,0.5830665128747312,0.5889033675193787
290.7,0.59925634,b,1.0621732605465208,0.32588462667585105,0.5826657674115158,0.5992563366889954
290.8,0.5998992,b,1.0660840888591048,0.3256340750000747,0.5822650219483002,0.599899172782898
290.9,0.59877306,b,1.063365778714929,0.32538352332429854,0.5818642764850848,0.5987730622291565
291.0,0.5917521,b,1.0385565202509535,0.3251329716485222,0.5814635310218692,0.5917521119117737
291.5,0.5860546,b,1.0247141263975557,0.3238802132696408,0.5794598037057915,0.5860546231269836
292.0,0.5848235,b,1.0276094248408199,0.3226274548907594,0.5774560763897139,0.584823489189148
292.5,0.5784832,b,1.011358222135151,0.321374696511878,0.5754523490736363,0.5784832239151001
293.0,0.5532983,b,0.924486524664759,0.3201219381329966,0.5734486217575587,0.55329829454422
293.5,0.53563446,b,0.8658001691274237,0.3188691797541152,0.571444894441481,0.535634458065033
294.0,0.5382689,b,0.8831818260003216,0.3176164213752338,0.5694411671254034,0.5382689237594604
294.5,0.5282521,b,0.8531527906142219,0.31636366299635243,0.5674374398093258,0.528252124786377
295.0,0.51707566,b,0.8187778923729869,0.31511090461747104,0.5654337124932483,0.5170756578445435
295.5,0.51065123,b,0.8022112929592874,0.31385814623858965,0.5634299851771706,0.5106512308120728
296.0,0.5305966,b,0.884465719319958,0.31260538785970826,0.5614262578610929,0.5305966138839722
